"I2C Slave Address
 (7-bit)","Register
 Address (HEX)",B7,B7_dev,B6,B6_dev,B5,B5_dev,B4,B4_dev,B3,B3_dev,B2,B2_dev,B1,B1_dev,B0,B0_dev
0x0b,0x20,HSC8_ALERT_N,,HSC7_ALERT_N,,HSC6_ALERT_N,,HSC5_ALERT_N,,HSC4_ALERT_N,,HSC3_ALERT_N,,HSC2_ALERT_N,,HSC1_ALERT_N,
0x0b,0x21,NVSW_34_3V3_M_PG,,NVSW_12_3V3_M_PG,,NVSW_34_5V_M_PG,,NVSW_12_5V_M_PG,,HSC_STBY_ALERT_M_N,,HSC11_ALERT_M_N,,HSC10_ALERT_M_N,,HSC9_ALERT_M_N,
0x0b,0x22,NVSW_34_3V3_PG,,NVSW_12_3V3_PG,,NVSW_34_5V_PG,,NVSW_12_5V_PG,,HSC_STBY_ALERT_N,,HSC11_ALERT_N,,HSC10_ALERT_N,,HSC9_ALERT_N,
0x0b,0x23,HSC8_PWRM_GD,,HSC7_PWRM_GD,,HSC6_PWRM_GD,,HSC5_PWRM_GD,,HSC4_PWRM_GD,,HSC3_PWRM_GD,,HSC2_PWRM_GD,,HSC1_PWRM_GD,
0x0b,0x24,HSC8_PWR_GD,,HSC7_PWR_GD,,HSC6_PWR_GD,,HSC5_PWR_GD,,HSC4_PWR_GD,,HSC3_PWR_GD,,HSC2_PWR_GD,,HSC1_PWR_GD,
0x0b,0x25,RET_4567_1V8LDOM_PG,,RET_4567_1V8VDDM_PG,,RET_0123_1V8LDOM_PG,,RET_0123_1V8VDDM_PG,,RSVD,,HSC11_PWRM_GD,,HSC10_PWRM_GD,,HSC9_PWRM_GD,
0x0b,0x26,RET_4567_1V8LDO_PG,,RET_4567_1V8VDD_PG,,RET_0123_1V8LDO_PG,,RET_0123_1V8VDD_PG,,RSVD,,HSC11_PWR_GD,,HSC10_PWR_GD,,HSC9_PWR_GD,
0x0b,0x27,RET3_4567_0V9M_PG,,RET2_4567_0V9M_PG,,RET1_4567_0V9M_PG,,RET0_4567_0V9M_PG,,RET3_0123_0V9M_PG,,RET2_0123_0V9M_PG,,RET1_0123_0V9M_PG,,RET0_0123_0V9M_PG,
0x0b,0x28,RET3_4567_0V9_PG,,RET2_4567_0V9_PG,,RET1_4567_0V9_PG,,RET0_4567_0V9_PG,,RET3_0123_0V9_PG,,RET2_0123_0V9_PG,,RET1_0123_0V9_PG,,RET0_0123_0V9_PG,
0x0b,0x29,PEXSW_PEX0V8_M_PG,,NVSW_3_VR_FLT_M_N,,NVSW_2_VR_FLT_M_N,,NVSW_1_VR_FLT_M_N,,NVSW_0_VR_FLT_M_N,,SYS_3V0_INT_M_PG,,SYS_3V3_M_PG,,SYS_1V8_M_PG,
0x0b,0x2A,PEXSW_PEX0V8_PG,,NVSW_3_VR_FLT_N,,NVSW_2_VR_FLT_N,,NVSW_1_VR_FLT_N,,NVSW_0_VR_FLT_N,,SYS_3V0_PG,,SYS_3V3_PG,,SYS_1V8_PG,
0x0b,0x2B,RSVD,,RSVD,,RSVD,,RSVD,,FPGA_PEX_REFCLK3_DET_M,,FPGA_RET_4567_REFCLK1_DET_M,,FPGA_RET_0123_REFCLK1_DET_M,,ALT_SENSE_READY_M,
0x0b,0x2C,RSVD,,RSVD,,RSVD,,RSVD,,FPGA_PEX_REFCLK3_DET,,FPGA_RET_4567_REFCLK1_DET,,FPGA_RET_0123_REFCLK1_DET,,ALT_SENSE_READY,
0x0b,0x2D,RSVD,,RSVD,,HERM_3_M_PG,,HERM_2_M_PG,,HERM_1_M_PG,,HMC_M_PG,,CAR_M_PG,,CAR_COME_M_PG,
0x0b,0x2E,RSVD,,RSVD,,HERM_3_PG,,HERM_2_PG,,HERM_1_PG,,HMC_PG,,CAR_PG,,CAR_COME_PG,
0x0b,0x2F,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,SMBPBI_FENCE_BMC_M,,SMBPBI_FENCE_HMC_M,
0x0b,0x30,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,SMBPBI_FENCE_BMC,,SMBPBI_FENCE_HMC,
0x0b,0x31,RSVD,,FPGA_MIDP_RESET_L,,FPGA_MIDP_PEX_RST_L[2],,FPGA_MIDP_PEX_RST_L[1],,FPGA_MIDP_PEX_RST_L[0],,FPGA_MIDP_PWR_BRAKE_L,,RSVD,,FPGA_MIDP_HGX_PWR_EN,
0x0b,0x32,RSVD,,RSVD,,RSVD,,RSVD,,FPGA_HST_BMC_BB_ID1,,FPGA_HST_BMC_BB_ID0,,FPGA_MIDP_PEX_STRAP1,,FPGA_MIDP_PEX_STRAP0,
0x0b,0x33,TMP468_NVSW_OVERT_L,,TMP468_NVSW_WARN_L,,RET_4567_TEMP_WARN_L,,RET_0123_TEMP_WARN_L,,FPGA_HMC_PCIE_PERST_L,,FPGA_HMC_PWR_EN,,FPGA_MIDP_HMC_READY,,HERM_3V3_STBY_PGOOD,
0x0b,0x34,FPGA_USER_STRAP_5,,FPGA_USER_STRAP_4,,FPGA_USER_STRAP_3,,FPGA_USER_STRAP_2,,FPGA_USER_STRAP_1,,RSVD,,RSVD,,FPGA_EROT_AP_GRNT_L,
0x0b,0x35,FPGA_HEADER_RSVD_8,FPGA,FPGA_HEADER_RSVD_7,,FPGA_HEADER_RSVD_6,,FPGA_HEADER_RSVD_5,,FPGA_HEADER_RSVD_4,,FPGA_HEADER_RSVD_3,,FPGA_HEADER_RSVD_2,,FPGA_HEADER_RSVD_1,
0x0b,0x36,RSVD,,FPGA_MIDP_I2C4_ALERT_L,,FPGA_MIDP_I2C3_ALERT_L,,FPGA_MIDP_I2C2_ALERT_L,,FPGA_MIDP_I2C1_ALERT_L,,FPGA_MIDP_TH_OVERT_N,,FPGA_MIDP_HGX_FPGA_READY,,FPGA_MIDP_HGX_PWR_GD,
0x0b,0x37,SXM_PWR_BRK_8_N,GPU7,SXM_PWR_BRK_7_N,,SXM_PWR_BRK_6_N,,SXM_PWR_BRK_5_N,,SXM_PWR_BRK_4_N,,SXM_PWR_BRK_3_N,,SXM_PWR_BRK_2_N,,SXM_PWR_BRK_1_N,
0x0b,0x38,RSVD,,FPGA_HSC11_RIGHT_EN,,FPGA_HSC10_RIGHT_EN,,FPGA_HSC9_LEFT_EN,,FPGA_SYS_3V3_PWR_EN,,FPGA_SYS_1V8_PWR_EN,,RSVD,,RSVD,
0x0b,0x39,FPGA_HSC8_RIGHT_EN,,FPGA_HSC7_RIGHT_EN,,FPGA_HSC6_RIGHT_EN,,FPGA_HSC5_RIGHT_EN,,FPGA_HSC4_LEFT_EN,,FPGA_HSC3_LEFT_EN,,FPGA_HSC2_LEFT_EN,,FPGA_HSC1_LEFT_EN,
0x0b,0x3A,FPGA_NVSW_23_VDD1V8_PWR_EN,,FPGA_NVSW_01_VDD1V8_PWR_EN,,FPGA_NVSW_23_HVDD_PWR_EN,,FPGA_NVSW_23_DVDD_PWR_EN,,FPGA_NVSW_23_VDD_PWR_EN,,FPGA_NVSW_01_HVDD_PWR_EN,,FPGA_NVSW_01_DVDD_PWR_EN,,FPGA_NVSW_01_VDD_PWR_EN,
0x0b,0x3B,FPGA_NVSW_23_FUSE_SRC_EN,,FPGA_NVSW_01_FUSE_SRC_EN,,FPGA_NVSW_23_3V3_PWR_EN,,FPGA_NVSW_01_3V3_PWR_EN,,FPGA_NVSW_23_5V_PWR_EN,,FPGA_NVSW_01_5V_PWR_EN,,RSVD,,FPGA_PEXSW_PEX0V8_EN,
0x0b,0x3C,FPGA_SXM7_PWR_EN,,FPGA_SXM6_PWR_EN,,FPGA_SXM5_PWR_EN,,FPGA_SXM4_PWR_EN,,FPGA_SXM3_PWR_EN,,FPGA_SXM2_PWR_EN,,FPGA_SXM1_PWR_EN,,FPGA_SXM0_PWR_EN,
0x0b,0x3D,FPGA_SXM7_PEX_RST_L,,FPGA_SXM6_PEX_RST_L,,FPGA_SXM5_PEX_RST_L,,FPGA_SXM4_PEX_RST_L,,FPGA_SXM3_PEX_RST_L,,FPGA_SXM2_PEX_RST_L,,FPGA_SXM1_PEX_RST_L,,FPGA_SXM0_PEX_RST_L,
0x0b,0x3E,FPGA_NVSW_3_VBOOT_RST_L,,FPGA_NVSW_2_VBOOT_RST_L,,FPGA_NVSW_1_VBOOT_RST_L,,FPGA_NVSW_0_VBOOT_RST_L,,FPGA_NVSW4_PERST_L,,FPGA_NVSW3_PERST_L,,FPGA_NVSW2_PERST_L,,FPGA_NVSW1_PERST_L,
0x0b,0x3F,FPGA_RET3_4567_RESET_L,,FPGA_RET2_4567_RESET_L,,FPGA_RET1_4567_RESET_L,,FPGA_RET0_4567_RESET_L,,FPGA_RET3_0123_RESET_L,,FPGA_RET2_0123_RESET_L,,FPGA_RET1_0123_RESET_L,,FPGA_RET0_0123_RESET_L,
0x0b,0x40,FPGA_RET3_4567_PERST_L,,FPGA_RET2_4567_PERST_L,,FPGA_RET1_4567_PERST_L,,FPGA_RET0_4567_PERST_L,,FPGA_RET3_0123_PERST_L,,FPGA_RET2_0123_PERST_L,,FPGA_RET1_0123_PERST_L,,FPGA_RET0_0123_PERST_L,
0x0b,0x41,FPGA_PEXSW_RST_L,,FPGA_PEXSW_GPIO_2,,FPGA_PEXSW_GPIO_1,,FPGA_PEXSW_GPIO_0,,FPGA_RET_4567_MUX_SEL,,FPGA_RET_0123_MUX_SEL,,RSVD,,FPGA_PEXSW_PERST_L,
0x0b,0x42,RSVD,,RSVD,,RSVD,,FPGA_USB_RDVR_ST_L,,FPGA_USER_LED_ORANGE,,FPGA_USER_LED_RED,,FPGA_USER_LED_YELLOW,,FPGA_USER_LED_GREEN,
0x0b,0x43,RSVD,,RSVD,,FPGA_NVSW2_CLKBUF_PWRDWN_L,,FPGA_NVSW1_CLKBUF_PWRDWN_L,,FPGA_NVSW_CLKGEN_OE2,,FPGA_NVSW_CLKGEN_OE1,,RSVD,,RSVD,
0x0b,0x44,FPGA_PCIE2_CLKBUF_PWRDWN_L,,FPGA_PCIE1_CLKBUF_PWRDWN_L,,FPGA_PCIE3_MUXSEL_CLKBUF,,FPGA_PCIE3_NVSW_23_CLKBUF_OE_L,,FPGA_PCIE3_NVSW_01_CLKBUF_OE_L,,FPGA_PCIE3_PCIESW_CLKBUF_OE_L,,RSVD,,RSVD,
0x0b,0x45,FPGA_RET3_4567_WP,,FPGA_RET2_4567_WP,,FPGA_RET1_4567_WP,,FPGA_RET0_4567_WP,,FPGA_RET3_0123_WP,,FPGA_RET2_0123_WP,,FPGA_RET1_0123_WP,,FPGA_RET0_0123_WP,
0x0b,0x46,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,FPGA_EEPRM_WP,,FPGA_HERM_WP,
0x0b,0x47,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,
0x0b,0x48,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,
0x0b,0x49,T_FUSE_SENSE_BIT7,,T_FUSE_SENSE_BIT6,,T_FUSE_SENSE_BIT5,,T_FUSE_SENSE_BIT4,,T_FUSE_SENSE_BIT3,,T_FUSE_SENSE_BIT2,,T_FUSE_SENSE_BIT1,,T_FUSE_SENSE_BIT0,
0x0b,0x4A,T_LTSSM_START_BIT7,,T_LTSSM_START_BIT6,,T_LTSSM_START_BIT5,,T_LTSSM_START_BIT4,,T_LTSSM_START_BIT3,,T_LTSSM_START_BIT2,,T_LTSSM_START_BIT1,,T_LTSSM_START_BIT0,
0x0b,0x4D,ID_15,,ID_14,,ID_13,,ID_12,,ID_11,,ID_10,,ID_9,,ID_8,
0x0b,0x4B,T_LR10_RESET_BIT7,,T_LR10_RESET_BIT6,,T_LR10_RESET_BIT5,,T_LR10_RESET_BIT4,,T_LR10_RESET_BIT3,,T_LR10_RESET_BIT2,,T_LTSSM_START_BIT1,,T_LR10_RESET_BIT0,
0x0b,0x4C,ID_7,,ID_6,,ID_5,,ID_4,,ID_3,,ID_2,,ID_1,,ID_0,
0x0b,0x4E,ID_23,,ID_22,,ID_21,,ID_20,,ID_19,,ID_18,,ID_17,,ID_16,
0x0b,0x4F,Timeout_Flag,,RSVD,,RSVD,,STATE_BIT4,,STATE_BIT3,,STATE_BIT2,,STATE_BIT1,,STATE_BIT0,
0x0b,0x50,Timeout_Flag,,RSVD,,RSVD,,STATE_BIT4,,STATE_BIT3,,STATE_BIT2,,STATE_BIT1,,STATE_BIT0,
0x0b,0x51,Timeout_Flag,,RSVD,,RSVD,,STATE_BIT4,,STATE_BIT3,,STATE_BIT2,,STATE_BIT1,,STATE_BIT0,
0x0b,0x52,Timeout_Flag,,RSVD,,RSVD,,STATE_BIT4,,STATE_BIT3,,STATE_BIT2,,STATE_BIT1,,STATE_BIT0,
0x0b,0x53,Timeout_Flag,,RSVD,,RSVD,,STATE_BIT4,,STATE_BIT3,,STATE_BIT2,,STATE_BIT1,,STATE_BIT0,
0x0b,0x54,Timeout_Flag,,RSVD,,RSVD,,STATE_BIT4,,STATE_BIT3,,STATE_BIT2,,STATE_BIT1,,STATE_BIT0,
0x0b,0x55,Timeout_Flag,,RSVD,,RSVD,,STATE_BIT4,,STATE_BIT3,,STATE_BIT2,,STATE_BIT1,,STATE_BIT0,
0x0b,0x56,Timeout_Flag,,RSVD,,RSVD,,STATE_BIT4,,STATE_BIT3,,STATE_BIT2,,STATE_BIT1,,STATE_BIT0,
0x0b,0x57,Timeout_Flag,,RSVD,,RSVD,,STATE_BIT4,,STATE_BIT3,,STATE_BIT2,,STATE_BIT1,,STATE_BIT0,
0x0b,0x58,Timeout_Flag,,RSVD,,RSVD,,STATE_BIT4,,STATE_BIT3,,STATE_BIT2,,STATE_BIT1,,STATE_BIT0,
0x0b,0x59,Timeout_Flag,,RSVD,,RSVD,,STATE_BIT4,,STATE_BIT3,,STATE_BIT2,,STATE_BIT1,,STATE_BIT0,
0x0b,0x5A,Timeout_Flag,,RSVD,,RSVD,,STATE_BIT4,,STATE_BIT3,,STATE_BIT2,,STATE_BIT1,,STATE_BIT0,
0x0b,0x5B,Timeout_Flag,,RSVD,,RSVD,,STATE_BIT4,,STATE_BIT3,,STATE_BIT2,,STATE_BIT1,,STATE_BIT0,
0x0b,0x5C,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,
0x0b,0x5D,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,
0x0b,0x5E,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,
0x0b,0x5F,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,
0x0b,0x60,RSVD,,RSVD,,HMC_LSIO_I2C3_PERI_ERROR_INT,,BMC_LSIO_I2C1_PERI_ERROR_INT,,HMC_REGTBL_I2C3_PERI_ERROR_INT,,BMC_REGTBL_I2C1_PERI_ERROR_INT,,HMC_GPU_I2C3_PERI_ERROR_INT,,BMC_GPU_I2C1_PERI_ERROR_INT,
0x0b,0x61,RSVD,,RSVD,,HMC_M_LSIO_I2C3_PERI_ERROR_INT,,BMC_M_LSIO_I2C1_PERI_ERROR_INT,,HMC_M_REGTBL_I2C3_PERI_ERROR_INT,,BMC_M_REGTBL_I2C1_PERI_ERROR_INT,,HMC_M_GPU_I2C3_PERI_ERROR_INT,,BMC_M_GPU_I2C1_PERI_ERROR_INT,
0x0b,0x62,HMC_NON_GPU_I2C4_PERI_ERROR_INT,,BMC_NON_GPU_I2C2_PERI_ERROR_INT,,HMC_REGTBL_I2C4_PERI_ERROR_INT,,BMC_REGTBL_I2C2_PERI_ERROR_INT,,HMC_AER_I2C4_PERI_ERROR_INT,,BMC_AER_I2C2_PERI_ERROR_INT,,HMC_NVSW_I2C4_PERI_ERROR_INT,,BMC_NVSW_I2C2_PERI_ERROR_INT,
0x0b,0x63,HMC_M_NON_GPU_I2C4_PERI_ERROR_INT,,BMC_M_NON_GPU_I2C2_PERI_ERROR_INT,,HMC_M_REGTBL_I2C4_PERI_ERROR_INT,,BMC_M_REGTBL_I2C2_PERI_ERROR_INT,,HMC_M_AER_I2C4_PERI_ERROR_INT,,BMC_M_AER_I2C2_PERI_ERROR_INT,,HMC_M_NVSW_I2C4_PERI_ERROR_INT,,BMC_M_NVSW_I2C2_PERI_ERROR_INT,
0x0b,0x64,CL_Byte3,,,,,,,,,,,,,,,
0x0b,0x65,CL_Byte2,,,,,,,,,,,,,,,
0x0b,0x66,CL_Byte1,,,,,,,,,,,,,,,
0x0b,0x67,CL_Byte0,,,,,,,,,,,,,,,
0x0b,0x68,RSVD,,RSVD,,HMC_OVERT_INT_N,,PEX_SW_OVERT_INT_N,,HERM_OVERT_INT_N,,CAR_COME_OVERT_INT_N,,RET4567_OVERT_INT_N,,RET0123_OVERT_INT_N,
0x0b,0x69,GPU8_INT_TEMP_WARN_N,,GPU7_INT_TEMP_WARN_N,,w,,GPU5_INT_TEMP_WARN_N,,GPU4_INT_TEMP_WARN_N,,GPU3_INT_TEMP_WARN_N,,GPU2_INT_TEMP_WARN_N,,GPU1_INT_TEMP_WARN_N,
0x0b,0x6A,FPGA_LM95233_1_TEMP_CRIT0_INT_N,,RSVD,,FPGA_LM95233_0_TEMP_CRIT0_INT_N,,"FPGA_LM95233_0_TEMP_CRIT1_INT_N/
FPGA_TEMP_ALERT_INT_N ",,PCB_TEMP_ALERT_3_INT_N,,PCB_TEMP_ALERT_2_INT_N,,PCB_TEMP_ALERT_1_INT_N,,PCB_TEMP_ALERT_0_INT_N,
